Failed to open /opt/hpc/software/compiler/intel/intel-compiler-2017.5.239/compiler/lib/intel64_lin/libiomp5.so, continuing without symbols
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 25K of event 'cpu-clock:u'
# Event count (approx.): 125899481750
#
# Overhead  Symbol                                                                            Shared Object                        
# ........  ................................................................................  .....................................
#
     0.58%  [.] mp_exchange_mod_mp_mp_exchange4d_q_                                           oceanM.s47_SELQUANT_best_20260810.bak
     0.51%  [.] biology_mod_mp_ta_iter_1_                                                     oceanM.s47_SELQUANT_best_20260810.bak
     0.50%  [.] nesting_mod_mp_fine2coarse3d_                                                 oceanM.s47_SELQUANT_best_20260810.bak
     0.47%  [.] uv3dmix_mod_mp_uv3dmix2_tile_                                                 oceanM.s47_SELQUANT_best_20260810.bak
     0.41%  [.] wetdry_mod_mp_wetdry_mask_tile_                                               oceanM.s47_SELQUANT_best_20260810.bak
     0.36%  [.] lmd_swfrac_tile_                                                              oceanM.s47_SELQUANT_best_20260810.bak
     0.32%  [.] mp_exchange_mod_mp_mp_exchange2d_                                             oceanM.s47_SELQUANT_best_20260810.bak
     0.32%  [.] omega_mod_mp_omega_tile_                                                      oceanM.s47_SELQUANT_best_20260810.bak
     0.32%  [.] set_ngfld_                                                                    oceanM.s47_SELQUANT_best_20260810.bak
     0.31%  [.] set_massflux_mod_mp_set_massflux_tile_                                        oceanM.s47_SELQUANT_best_20260810.bak
     0.23%  [.] mca_pml_ucx_progress                                                          mca_pml_ucx.so                       
     0.22%  [.] wvelocity_mod_mp_wvelocity_tile_                                              oceanM.s47_SELQUANT_best_20260810.bak
     0.21%  [.] ompi_op_base_2buff_sum_fortran_double_precision                               libmpi.so.40.20.4                    
     0.21%  [.] set_depth_mod_mp_set_depth_tile_                                              oceanM.s47_SELQUANT_best_20260810.bak
     0.19%  [.] pow                                                                           oceanM.s47_SELQUANT_best_20260810.bak
     0.17%  [.] uct_mm_ep_am_bcopy                                                            libuct.so.0.0.0                      
     0.15%  [.] __libm_cos_y8                                                                 oceanM.s47_SELQUANT_best_20260810.bak
     0.12%  [.] t3dbc_mod_mp_t3dbc_tile_                                                      oceanM.s47_SELQUANT_best_20260810.bak
     0.12%  [.] wetdry_mod_mp_wetdry_tile_                                                    oceanM.s47_SELQUANT_best_20260810.bak
     0.12%  [.] exp                                                                           oceanM.s47_SELQUANT_best_20260810.bak
     0.12%  [.] ucp_eager_only_handler                                                        libucp.so.0.0.0                      


#
# (Tip: For hierarchical output, try: perf report --hierarchy)
#
